TransactionId,InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
1,537215,82484,WOOD BLACK BOARD ANT WHITE FINISH,36,2010/05/12 15:38,5.55,12747,United Kingdom
2,537215,21136,PAINTED METAL PEARS ASSORTED,8,2010/05/12 15:38,1.69,12747,United Kingdom
3,545321,20711,JUMBO BAG TOYS ,20,2011/01/03 14:53,1.95,12747,United Kingdom
4,537225,51008,AFGHAN SLIPPER SOCK PAIR,10,2010/05/12 16:41,3.45,12748,United Kingdom
5,537354,85099B,JUMBO BAG RED RETROSPOT,6,2010/06/12 12:23,1.95,12748,United Kingdom
6,550216,22621,TRADITIONAL KNITTING NANCY,12,2011/04/15 11:06,1.65,13516,United Kingdom
7,568659,23319,BOX OF 6 MINI 50'S CRACKERS,6,2011/09/28 12:28,2.49,13516,United Kingdom
8,570594,22818,CARD CHRISTMAS VILLAGE,12,2011/11/10 11:43,0.42,13517,United Kingdom
9,556503,23302,KNEELING MAT HOUSEWORK  DESIGN,12,2011/06/13 08:44,1.65,13517,United Kingdom
10,567941,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,6,2011/09/22 18:24,2.1,13519,United Kingdom
11,580520,22509,SEWING BOX RETROSPOT DESIGN ,1,2011/04/12 14:55,3.95,13521,United Kingdom
12,580520,21263,GREEN GOOSE FEATHER TREE 60CM,2,2011/04/12 14:55,1.95,13521,United Kingdom
13,581405,M,Manual,3,2011/08/12 13:50,0.42,13521,United Kingdom
14,537822,21537,RED RETROSPOT PUDDING BOWL,4,2010/08/12 14:22,4.25,13523,United Kingdom
15,537822,21533,RETROSPOT LARGE MILK JUG,3,2010/08/12 14:22,4.95,13523,United Kingdom
16,574732,22899,CHILDREN'S APRON DOLLY GIRL ,6,2011/06/11 15:11,2.1,13523,United Kingdom
17,540353,21929,JUMBO BAG PINK VINTAGE PAISLEY,2,2011/06/01 14:53,1.95,13764,United Kingdom
18,560444,22637,PIGGY BANK RETROSPOT ,4,2011/07/18 17:15,2.55,13764,United Kingdom
19,560444,21928,JUMBO BAG SCANDINAVIAN BLUE PAISLEY,2,2011/07/18 17:15,2.08,13764,United Kingdom
20,569089,23344,JUMBO BAG 50'S CHRISTMAS ,8,2011/09/30 12:03,2.08,13764,United Kingdom
21,569089,21263,GREEN GOOSE FEATHER TREE 60CM,6,2011/09/30 12:03,1.95,13764,United Kingdom
22,566016,21980,PACK OF 12 RED RETROSPOT TISSUES ,24,2011/08/09 12:20,0.29,15144,United Kingdom
23,566016,22616,PACK OF 12 LONDON TISSUES ,24,2011/08/09 12:20,0.29,15144,United Kingdom
24,566016,21985,PACK OF 12 HEARTS DESIGN TISSUES ,24,2011/08/09 12:20,0.29,15144,United Kingdom
25,549017,22570,FELTCRAFT CUSHION RABBIT,4,2011/05/04 15:20,3.75,15145,United Kingdom
26,580728,21705,BAG 500g SWIRLY MARBLES,24,2011/05/12 17:21,0.39,15145,United Kingdom
27,555638,23255,CHILDRENS CUTLERY CIRCUS PARADE,4,2011/06/06 12:51,4.15,15150,United Kingdom
28,574723,23470,CARD HOLDER LOVE BIRD LARGE ,4,2011/06/11 14:45,6.25,15150,United Kingdom
29,574723,23571,TRADITIONAL NAUGHTS & CROSSES,12,2011/06/11 14:45,1.65,15150,United Kingdom
30,574723,23581,JUMBO BAG PAISLEY PARK,10,2011/06/11 14:45,2.08,15150,United Kingdom
